route_variant_name,route_name,directionid,routevarianttypeid,route,route_variant_number,contractid,operator_name,regionname,route_distance,email,mobilephone,homephone,workphone,address,st_length(shape)
Warrawong HS - Port Kembla,Wentworth Rd af Darcy Rd to Warrawong HS ,Out,School,S246,S246-2,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,6.16,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",7482.929381516244
Snail Bus - East Lismore to Wyrallah Road Public via Lismore Schools,Snail Bus - Wyrallah Road Public to East Lismore via Lismore Schools & Goonellabah,In,School,S360,S360-1,M0814,Nthn Rivers Buslines,RRBSC M0814,22.14,info@buslinesgroup.com.au,0418 214 135,,,"1 Burwood Road, BURWOOD, NSW, 2134",25252.62043012195
North Rocks Shopping Centre to Epping Station - Beecroft Rd,Parramatta to Epping via Oatlands & North Rocks,In,Regular,546,546-34,GSBC007,Busways North West,GSBC Contract 7,10.61,michael.hasking@busways.com.au,0438537969,02 94971800,02 94971876,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",12786.480128160385
Goobang National Park to Parkes Schools via Renshaw Mcgirr Way,Goobang National Park to Parkes Schools via Renshaw Mcgirr Way,In,School,S461,S461-1,P0229,Western Road Liners,RRPBC P0229,31.93,cjm@westernroadliners.com.au,0429 432 560,02 6862 1915,02 6862 1022,"30 Danilenko St, PARKES, NSW, 2870",38205.39920809107
Walcha to Brackendale Rd,Brackendale Rd to Walcha,Out,School,S748,S748-2,C0426,MacPhersons Walcha Pty Ltd,RRPBC C0426,47.49,info@oxleyexplorer.com.au,0417443387,,,"11 Bridge St, URALLA, NSW, 2358",55632.89496815927
Park Beach Plaza to Macksville Pool,Coffs Harbour-Macksville via Urunga&Nambucca Heads,Out,Regular,360,360-109,L0817,Busways,RRBSC L0817,76.73,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",89239.95696655857
Wynyard - Clarence St to Lane Cove - Mars Road,"Mars Rd, Lane Cove West to City via Freeway",Out,Regular,285,285-24,GSBC007,Busways North West,GSBC Contract 7,12.46,michael.hasking@busways.com.au,0438537969,02 94971800,02 94971876,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",15032.08669320696
Woolwich Wharf to Gladesville - Pittwater Rd,Gladesville to Woolwich Wharf,Out,Regular,538,538-69,GSBC007,Busways North West,GSBC Contract 7,9.13,michael.hasking@busways.com.au,0438537969,02 94971800,02 94971876,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",11015.666874237
Sutherland Station Stand A to Lucas Heights Community School,Miranda to Barden Ridge,Out,Regular,961,961-648,GSBC010,U-Go Mobility,GSBC Contract 10,10.85,Leanne.frederiksen@u-gomobility.com,0411018331,,,,13115.346433591187
Cudgegong to Mudgee Schools,Cudgegong to Mudgee Schools,In,School,S606,S606-1,C0512,Booths Bus Line,RRPBC C0512,29.42,msd02850@gmail.com,0263722056,,,,35023.31878184656
Weir/Ninth to Penrith Stn,Warragamba to Penrith,In,Regular,795,795-41,GSBC001,Busways R1,GSBC Contract 1,32.26,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",38946.48010430827
North Ryde - Blenheim Rd to Epping Station,School Service,In,School,676w,676w-16,GSBC007,Busways North West,GSBC Contract 7,9.37,michael.hasking@busways.com.au,0438537969,02 94971800,02 94971876,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",11286.48575986661
Adelong Schools to Wondalga,Wondalga to Adelong Schools,Out,School,S394,S394-2,C0638,Hassett Buses Pty Ltd,RRPBC C0638,28.23,lindyadickson@gmail.com,0427 462 000,02 6946 2213,0428 462 203,,34695.79113601148
Kangaroo Valley to Nowra via Cambewarra & Bomaderry,Kangaroo Valley to Nowra via Cambewarra & Bomaderry,Out,Regular,112,112-83,C0253,Kennedy's Bus,RRPBC C0253,16.91,sales@kennedystours.com.au,0411 232101,4421 7596,,"7 Flinders Road, SOUTH NOWRA, NSW, 2541",20636.580989900274
Settlement City to Port Central,Port Macquarie to Wauchope (Loop Service),In,Regular,336,336-1,L0822,Busways,RRBSC L0822,57.29,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",67243.24066147722
Tamworth to Calala via Goonoo Goonoo Rd (Loop Service),Tamworth to Calala via Goonoo Goonoo Rd (Loop Service),In,Regular,436,436-2,M0812,Tamworth Buslines,RRBSC M0812,21.33,info@buslinegroup.com.au,0418214135,,,"21 Hume Street, TAMWORTH, NSW, 2340",24962.55962602771
St Josephs PS (P) to St Columba,School Service,Out,School,S587,S587-76099,L0822,Busways,RRBSC L0822,9.85,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",11572.889874214636
Henry Kendall HS to Woy Woy Stn,School Service,Out,School,2560,2560-62138,OMBSC006,Busways OMR6,OMBSC Contract 6,12.81,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",15390.639238391128
Wentworth Post Office to Mildura Central,Wentworth to Mildura via Dareton,In,Regular,951,951-33,V0298,CDC Mildura,RRBSC V0298,38.96,cdcmildura@cdcbus.com.au,0413 958 057,0408037448,03 50230274,"8-10 Bathurst Court, MILDURA, VIC, 3500",47140.8850569219
Oberon Schools to Wisemans Creek via Essington,Wisemans Creek to Oberon Schools via Essington,Out,School,S382,S382-2,C0433,Oberon Bus Service,RRPBC C0433,16.17,john@johnwoodhouse.com; branka@johnwoodhouse.com;,0459 307 226,,,"12-14 Albion St, OBERON, NSW, 2787",19466.258495065977
Eden Schools to Wonboyn,Wonboyn to Eden Schools,Out,School,S305,S305-4,P0207,Sapphire Coast Buslines,RRPBC P0207,41.23,jamiek@scbuslines.com.au,0428 963 879,02 6495 6452,(02) 6495 6452,"39 Redfern Close, SOUTH PAMBULA, NSW, 2549",51726.20404536716
Gladesville - Pittwater Rd to Woolwich Wharf,Gladesville to Woolwich Wharf,In,Regular,538,538-71,GSBC007,Busways North West,GSBC Contract 7,9.12,michael.hasking@busways.com.au,0438537969,02 94971800,02 94971876,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",10996.030271347683
Leeville Public & Casino Schools to Babyl Creek Rd via Stratheden,Babyl Creek Rd to Casino Schools via Stratheden,Out,School,S926,S926-2,C0504,Bennetts Bus Service,RRPBC C0504,48.52,bennettsbusservice@bigpond.com,0429 428 865,,,,55356.392671178925
Callala and Currarong to Nowra via Myola,Callala and Currarong to Nowra via Myola,In,Regular,120,120-56,V0313,Nowra Coaches,RRBSC V0313,33.1,johnk@premierms.com.au,02 4423 5244,0413168800,02 4423 5244,"10 Investigator Street, NOWRA, NSW, 2541",40448.06714292145
Brown Bear Bus - Summerland Christian Coll to Southern Cross University via Blue Hills Coll,Brown Bear Bus - Summerland Christian Coll to Southern Cross University via Blue Hills Coll,Out,School,S375,S375-2,M0814,Nthn Rivers Buslines,RRBSC M0814,21.48,info@buslinesgroup.com.au,0418 214 135,,,"1 Burwood Road, BURWOOD, NSW, 2134",24517.148647410733
Rouse Hill Stn (Opp) to Blacktown Station,Blacktown - Rouse Hill,In,Regular,752,752-166,GSBC001,Busways R1,GSBC Contract 1,16.62,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",20027.366841361953
Londonderry PS to Warnock/Castlereagh,School Service,Out,School,5538,5538-2012,GSBC001,Busways R1,GSBC Contract 1,14.35,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",17253.614537296704
Billy Goat Bus - Casino Schools to Casino Dyraaba St via Shannon Brook,Billy Goat Bus - Casino Schools to Casino Dyraaba St via Shannon Brook,Out,School,S351,S351-2,S0804,Nthn Rivers Buslines,RRBSC S0804,43.65,info@buslinesgroup.com.au,0418 214 135,,,"1 Burwood Road, BURWOOD, NSW, 2134",49847.313490908746
Wollongong - Bellambi - Wollongong,Wollongong to Northern Suburbs Loop (clockwise),In,Regular,8,8-1,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,26.83,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",32590.174366437393
Broken Hill Hospital to Darling River Supermarket (Menindee),Menindee to Broken Hill and Return,Out,Regular,594,594-12,S0308,CDC Broken Hill,RRBSC S0308,124.01,cdcbrokenhill@cdcbus.com.au,0428877431,03 9977 9972,,"13 Kanandah Road, BROKEN HILL, NSW, 2880",146649.64951628962
Opp.Kincumber Church to Schnapper/Bream,Gosford & Woy Woy via Kincumber & Empire Bay,Out,Regular,64,64-214,OMBSC006,Busways OMR6,OMBSC Contract 6,20.4,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",24513.004759432606
Polar Bear Bus - Lismore South Public & S Lismore to Albert Park & Lismore South Schools,"Polar Bear Bus - Southern Cross Uni to Lismore, Albert Park Schools & East Lismore",In,School,S370,S370-1,M0814,Nthn Rivers Buslines,RRBSC M0814,18.1,info@buslinesgroup.com.au,0418 214 135,,,"1 Burwood Road, BURWOOD, NSW, 2134",20645.77919305467
Wilton To Picton via Douglas Park,Wilton to Picton via Douglas Park,In,Regular,901,901-3,P0203,Picton Buslines,RRPBC P0203,35.61,info@pictonbuslines.com.au,0407 417 936,02 4677 1564,,"18 Wonga Rd, PICTON, NSW, 2571",43135.9078575459
Tamworth to Manilla ,Tamworth to Manilla ,Out,Regular,443,443-4,M0812,Tamworth Buslines,RRBSC M0812,45.42,info@buslinegroup.com.au,0418214135,,,"21 Hume Street, TAMWORTH, NSW, 2340",53098.81769605373
Symonds/Richmond to Good Shepherd PS,School Service,In,School,6010,6010-16128,GSBC001,Busways R1,GSBC Contract 1,5.47,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",6590.694086673039
Denman to Aberdeen Schools via Muswellbrook,Denman to Aberdeen Schools via Muswellbrook,In,School,S839,S839-1,P0205,Reg Osborn,RRPBC P0205,48.92,melinda@osborns.com.au,0265431271,02 6543 1271,02 6543 1271 ,"53-55 Maitland St, MUSWELLBROOK, NSW, 2333",58023.56310859471
Willow Vale to Moss Vale via Mittagong & Bowral,Willow Vale to Moss Vale via Mittagong & Bowral,Out,Regular,811,811-7,M0306,Berrima Buslines,RRBSC M0306,14.76,info@buslinesgroup.com.au,0408682627,,,"1 Burwood Rd,, BURWOOD, NSW, 2134",17933.136026834793
Raccoon Bus - Casino Dyraaba St to Casino Schools via Rappville & Fairy Hill,Raccoon Bus - Casino Schools to Casino Dyraaba St via Leeville & Rappville,In,School,S352,S352-1,S0804,Nthn Rivers Buslines,RRBSC S0804,108.89,info@buslinesgroup.com.au,0418 214 135,,,"1 Burwood Road, BURWOOD, NSW, 2134",124490.67083869541
Kangaroo Valley to Nowra via Cambewarra & Bomaderry,Kangaroo Valley to Nowra via Cambewarra & Bomaderry,In,Regular,112,112-75,C0253,Kennedy's Bus,RRPBC C0253,28.56,sales@kennedystours.com.au,0411 232101,4421 7596,,"7 Flinders Road, SOUTH NOWRA, NSW, 2541",34875.095282546026
Tenterfield Schools to Bryans Gap via Black Swan,Nutshell Rd to Tenterfield Schools via Black Swamp,Out,School,S460,S460-2,C0629,GW&CA HILLIER,RRPBC C0629,51.61,hillierbydesign@gmail.com,0458 609 765,0428 669 409,,"267 Douglas St, TENTERFIELD, NSW, 2372",58997.325026501225
102 - Basin View to Bomaderry via Vincentia Nowra-Outbound,102 - Basin View to Bomaderry via Vincentia Nowra-Outbound,Out,Regular,102,102-25,M0309,Nowra Coaches,RRBSC M0309,64.33,johnk@premierms.com.au,02 4423 5244,0413168800,02 4423 5244,"10 Investigator Street, NOWRA, NSW, 2541",78694.23892474828
Mt Druitt Station to Rymill/Penguin,Penrith to Mt Druitt via Christie St,In,Regular,780,780-81,GSBC001,Busways R1,GSBC Contract 1,5.59,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",6744.315939774138
Lake Haven Shops to Lake Haven Shops,Lake Haven-Budgewoi-Toukley-Lake Haven (clockwise),In,Regular,92,92-112,OMBSC006,Busways OMR6,OMBSC Contract 6,32.62,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",39106.03766875313
Echuca to 24 Lane (Loop Service),Echuca to 24 Lane (Loop Service),Out,Regular,937,937-2,C0274,James Newtons Bus Service Pty,RRPBC C0274,14.37,info@newtonsbusservices.com.au,0417 534 971,03 5484 1129,,"7 Fuller Ave, ROCHESTER, VIC, 3561",17808.526867385597
Monteagle Public to Young,Young to Monteagle Public,Out,School,S591,S591-2,C0580,Demadrick Pty Ltd,RRPBC C0580,28.05,rj.dm@rozynbuses.com,0429 877 772,,,,34015.96183102559
Vincentia to Nowra Schools via Erowal Bay,Vincentia to Nowra Schools via Erowal Bay,In,School,S418,S418-4,M0309,Nowra Coaches,RRBSC M0309,63.85,johnk@premierms.com.au,02 4423 5244,0413168800,02 4423 5244,"10 Investigator Street, NOWRA, NSW, 2541",78131.38578803526
Windsor Stn to Old Pitt Town/Bounda,School Service,In,School,5101,5101-139,GSBC001,Busways R1,GSBC Contract 1,13.64,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",16416.770218055924
Westfield Hurstville Cross St to Bankstown Station Stand C,Hurstville to Bankstown via Riverwood,Out,Regular,940,940-473,GSBC010,U-Go Mobility,GSBC Contract 10,15.11,Leanne.frederiksen@u-gomobility.com,0411018331,,,,18247.30961226685
Kangaroo Bus - Dubbo Schools to Wongarbon,Kangaroo Bus - Dubbo Schools to Wongarbon,Out,School,S291,S291-1,M0299,Dubbo Buslines,RRBSC M0299,87.24,info@buslinesgroup.com.au,0418214135,,,"1 Burwood Rd, BURWOOD, NSW, 2134",103385.83118596933
Mungindi Schools to Morialta Junction,Morialta Junction to Mungindi Schools,Out,School,S502,S502-2,C0483,AK Quinn Pty Ltd,RRPBC C0483,84.92,quinny58@hotmail.com,0419 142 224,,,,97217.49714834706
Stockland Forster to Tuncurry via Legacy Village (Loop Service),Stockland Forster to Tuncurry via Legacy Village (Loop Service),In,Regular,303,303-9,M0819,Forster Buslines,RRBSC M0819,16.82,info@buslinesgroup.com.au,0418214135,,,"1 Burwood Rd,, BURWOOD, NSW, 2134",19918.54808801816
"Moore Park, Anzac Pde to Kingsford, Juniors",Moore Park to Kingsford,In,Planned Replacement,82L3,82L3-2,OSMBSC004,Emergency Buses,OSMBSC Contract 4,3430.91,,,,,,4150.564443735736
Taree Schools to Mondrook via Tinonee,Mondrook to Tinonee Public & Taree Schools,Out,School,S262,S262-2,C0277,Tinonee Bus Company,RRPBC C0277,37.21,tibuco@bigpond.com.au,0438 208 204,,02 6551 0033 ,"4 Grey Gum Road, TAREE, NSW, 2430",43926.26160419455
Sawtell Primary to Toormina HS,Sawtell PS to Toormina High,Out,School,S902,S902-4,M0787,Forest Coach Lines,RRBSC M0787,25.31,info.fcl@cdcbus.com.au,0413498237,02 6652 3201 ,02 6653 3345,,29387.007280145033
Figtree Grove - Wollongong,Wollongong to University,In,Regular,11,11-4,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,6.43,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",7807.988815311901
Dulwich Hill R/S: Ewart St to Sydenham Station: Stand E,Dulwich Hill to Sydenham,In,Planned Replacement,SW1,SW1-242,PRBTTP02,U-Go Mobility,,3.8200000000000003,Leanne.frederiksen@u-gomobility.com,0411018331,,,,4608.912431299654
"Gateway Airport, Southern Cross Dr to River Tce At Burringbar St",Mullumbimby to Ballina via Byron Bay,In,Regular,640,640-137,M0794,CDCNSW,RRBSC M0794,62.21,info.northcoast@cdcbus.com.au / andrew.fogg@cdcbus,0413 498 237,02 6686 2144,02 6686 2144,"5 De Havilland Crescent, BALLINA, NSW, 2478",70953.70550983997
Mt Druitt Station to Penrith Stn,Mt Druitt to Penrith via St Clair,In,Regular,776,776-86,GSBC001,Busways R1,GSBC Contract 1,25.82,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",31136.633707929097
Hurstville Station Ormonde Pde Stand K to Cronulla Station,Hurstville to Cronulla,Out,Regular,971,971-554,GSBC010,U-Go Mobility,GSBC Contract 10,19.96,Leanne.frederiksen@u-gomobility.com,0411018331,,,,24146.07664053782
George St Opp Westfield Liverpool - Village Way op,Holsworthy to Liverpool via Wattle Grove,Out,Regular,901,901-23,GSBC003,Transit Systems NSW,GSBC Contract 3,10.05,asingh@transitsystems.com.au,0498006941,02 87785800,,"49 -57 Percival rd, SMITHFIELD, NSW, 2164",12148.149260268712
Erina St/Imperial Centre to Berecry Rd,Spencer-Mangrove-Somersby-Gosford,Out,Regular,32,32-66,OMBSC006,Busways OMR6,OMBSC Contract 6,37.58,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",45110.298230365086
Gundagai Schools to Tarrabandra via Jackalass,Tarrabandra to Gundagai Schools via Jackalass,Out,School,S246,S246-2,C0427,Makeham's Coaches,RRPBC C0427,77.58,annettemakeham@bigpond.com,0419 637 376,0269719255,0269447208,"27 Lake Albert Road, WAGGA WAGGA, NSW, 2650",94920.17627069954
Picton to Bowral,Bowral to Picton,In,Regular,828,828-9,M0306,Berrima Buslines,RRBSC M0306,48.36,info@buslinesgroup.com.au,0408682627,,,"1 Burwood Rd,, BURWOOD, NSW, 2134",58719.25551786776
St Philips to Rusty Lane Branxton via The Vintage,St Philips to Rusty Lane Branxton via The Vintage,Out,School,S955,S955-2,OSMBSC001,Rover Motors,OSMBSC Contract 1,37.57,mat@rovercoaches.com.au,0249901699,,,"231 Vincent Street, CESSNOCK, NSW, 2325",44774.12337263074
Myall Park to Griffith Schools,Myall Park to Griffith Schools,In,School,S417,S417-1,C0534,C & J Robertson P/L,RRPBC C0534,48.01,jul-77@live.com,0488 551 375,,,"83 Spence Road, GRIFFITH, NSW, 2680",58215.24060062879
Nagle College to Blacktown Station,School Service,Out,School,6574,6574-95091,GSBC001,Busways R1,GSBC Contract 1,3.52,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",4246.674305153808
Mt Terry PS - Albion Park,Burdenkin Dr opp Roper Rd to Mt Terry PS ,Out,School,S163,S163-2,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,4,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",4870.6091629680795
Lisarow HS to Ourimbah PS (Dog Tra,School Service,Out,School,2607,2607-71259,OMBSC006,Busways OMR6,OMBSC Contract 6,4.04,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",4854.207358877736
Wingadee to Coonamble Schools,Wingadee to Coonamble Schools,In,School,S520,S520-1,C0432,NRC Buses Pty Ltd,RRPBC C0432,43.16,naomi@nrcbuses.com.au,0417682715,02 6822 3238,0417 682 715,"4 Sydney Street, COONAMBLE, NSW, 2829",50390.150037391366
Alstonville & Rous Schools to Marom Creek Rd via Rouse Mill,Marom Creek to Alstonville Schools via Rous Mill & Rous Public,Out,School,S600,S600-2,C0746,Alstonville Bus Service,RRPBC C0746,24.49,admin@alstonvillebusservice.com.au,0419 227 488,,02 6628 3851 ,"30 Russellton Drive, ALSTONVILLE, NSW, 2477",27964.462919205584
Macksville Pool to McCristal/Jagera (7 ,Macksviile-Nambucca-VallaBeach-Urunga-Bellingen,In,Regular,358,358-124,L0817,Busways,RRBSC L0817,70.46,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",81971.2820088882
Karuah RSL Club to Bulahdelah Central S,School Service,In,School,S639,S639-7185,M0821,Busways,RRBSC M0821,54.02,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",64239.00630603877
Braidwood to Tarago,Tarago to Braidwood,Out,School,S557,S557-3,C0404,Braidwood Buses,RRPBC C0404,48.63,mark@braidwoodbuses.com.au,0438 354 894,0438 354 894,02 4842 2788,"13 Sandholes Road, BRAIDWOOD, NSW, 2622",59719.02898157615
Yarramundi/Richmond Rd to Blacktown HS,School Service,In,School,6066,6066-53105,GSBC001,Busways R1,GSBC Contract 1,9.25,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",11147.0778754096
Croobyar to Ulladulla Schools via Milton Schools,Croobyar to Ulladulla Schools via Milton Schools,In,School,S678,S678-2,C0418,Kellam Bus Lines,RRPBC C0418,26.16,Ulladulla@kellambus.com.au,0419 243 650,02 4455 4444,02 6662 2561,"Lot 2 Blackburn Road, ULLADULLA, NSW, 2539",32123.094407718698
Geddes Lane & Mittagong Yerong Creek Rd to Yerong Creek,Geddes Lane & Mittagong Yerong Creek Rd to Yerong Creek,In,School,S866,S866-3,C0828,Waverley Bus Pty Ltd,RRPBC C0828,22.7,bob.geddes@bigpond.com,0407 311 501,,,"78 Tynan Road, TABLE TOP, NSW, 2640",27872.617745055217
South West Rocks PS to Smithtown PS,School Service,Out,School,S606,S606-71271,L0822,Busways,RRBSC L0822,20.5,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",23951.76295631292
Scalabrini Village - Rockdale Stn (Railway St),Drummoyne - Rockdale,Out,Regular,492,492-224,SBSC006,Transit Systems West,SBSC Contract 6,21.18,smerrill@transitsystems.com.au,0490120372,,,"230 - 240 Balmain Road, LEICHHARDT, NSW, 2040",25584.868897714503
Kiama to Gerringong,Kiama to Gerroa via Gerringong,Out,Regular,126,126-15,S0310,Kiama Coaches,RRBSC S0310,30.66,kim@kiamacoaches.com.au,0418 425 770,02 4232 3466,(02) 4232 3466,"154 Shoalhaven Street, KIAMA, NSW, 2533",37372.97980057492
Cessnock to Maitland,Maitland to Cessnock,In,Regular,164,164-9,OSMBSC001,Rover Motors,OSMBSC Contract 1,31.32,mat@rovercoaches.com.au,0249901699,,,"231 Vincent Street, CESSNOCK, NSW, 2325",37339.064687053826
Gunnedah & Carroll to Tamworth Interchange via Barber St,Gunnedah & Carroll to Tamworth Interchange via Barber St,In,School,S412,S412-1,C0301,Hopes Bus Service Pty Limited,RRPBC C0301,30,rodhope@hotmail.com,0267420457,02 6742 0457,02 6742 0457,"26 Railway Ave, GUNNEDAH, NSW, 2380",34993.677704611735
Tyndale School to Blacktown Station,School Service,Out,School,6521,6521-97033,GSBC001,Busways R1,GSBC Contract 1,3.9,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",4702.115899431086
Frenchs Forest to Bayview Garden Village,Bayview Garden Village to Frenchs Forest,Out,Regular,155,155-72,GSBC008,KD Northern Beaches,GSBC Contract 8,20.05,kdnb.customerservice@keolisdowner.com.au,0448 324 844,,,"630-636 Pittwater Road, BROOKVALE, NSW, 2100",24157.72530143673
Gosford PS to Erina St/Imperial Ce,School Service,Out,School,2555,2555-61076,OMBSC006,Busways OMR6,OMBSC Contract 6,1.9900000000000002,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",2393.345917297714
Merewether HS to University of Newcastle,Merewether HS to University of Newcastle,Out,School,S862,S862-2,OSMBSC001,Rover Motors,OSMBSC Contract 1,7.57,mat@rovercoaches.com.au,0249901699,,,"231 Vincent Street, CESSNOCK, NSW, 2325",9038.372830106618
Shellharbour Depot - Illawarra Christian College,Shellharbour Depot to Illawarra Christian School via Albion Park ,In,School,S122,S122-3,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,39.74,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",48350.1421768143
Wyong Stn to Lake Haven Shops,Lake Haven & Wyong/Tuggerah via Kanwal & Wadalba,In,Regular,81,81-87,OMBSC006,Busways OMR6,OMBSC Contract 6,14.04,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",16830.12786302321
Opp Karuah Golf Club to Irrawang PS,School Service,In,School,S627,S627-35126,M0821,Busways,RRBSC M0821,54.92,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",65393.84065107009
Dunkeld to Bathurst Schools via Mount Panorama,Dunkeld to Bathurst Schools via Mount Panorama,In,School,S783,S783-1,C0415,Newman's Bus Service,RRPBC C0415,23.32,admin@newmansfuelsandbuses.com.au,0417454206,0417454206,63682634,"3 Maria Street, BLAYNEY, NSW, 2799",28006.914239089972
Windsor Stn to Riverstone Stn,Windsor - Riverstone via McGraths Hill & Vineyard,In,Regular,671,671-24,GSBC001,Busways R1,GSBC Contract 1,18.24,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",21953.13945110163
Lithgow to Bathurst via Wallerawang & Portland,Lithgow to Bathurst via Wallerawang & Portland,Out,Regular,636,636-4,M0302,Lithgow Buslines,RRBSC M0302,83.15,info@buslinesgroup.com.au,0407 417 936,,,"1 Burwood Road, BURWOOD, NSW, 1805",99787.41821960584
Terrace/Bells Line of Rd to Colo HS,School Service,In,School,5126,5126-62035,GSBC001,Busways R1,GSBC Contract 1,21.55,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",25893.252088982746
Griffith to Hospital Precinct via Pioneer & South Griffith (Loop Service),Griffith to Hospital Precinct via Pioneer & South Griffith (Loop Service),In,Regular,943,943-5,S0296,Griffith Buslines,RRBSC S0296,15.4,info@buslinesgroup.com.au,0418 214135,,,"1 Burwood Rd, BURWOOD, NSW, 2134",18677.839634955497
Colorado/Explorers to Penrith PS & HS,School Service,In,School,4043,4043-11023,GSBC001,Busways R1,GSBC Contract 1,34.52,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",41600.07661694304
"Mascot - Prince of Wales Hospital, Barker St",Sans Souci to Prince of Wales Hospital via Mascot,In,Regular,303,303-22,SBSC006,Transit Systems West,SBSC Contract 6,5.89,smerrill@transitsystems.com.au,0490120372,,,"230 - 240 Balmain Road, LEICHHARDT, NSW, 2040",7112.271128553957
Stuarts Point to Smithtown PS Frederickton PS & West Kempsey Schools,Stuarts Point to Smithtown PS Frederickton PS & West Kempsey Schools,Out,School,S784,S784-28,M0818,Cavanagh Bus & Coach,RRBSC M0818,153.27,manager@cavanaghbus.com.au,0490 832 297,6562 7800,,"1 Tozer St, KEMPSEY, NSW, 2440",179023.2392410201
Goondiwindi to Osterley via Boggabilla,Osterley to Goondiwindi via Boggabilla,Out,School,S434,S434-1,C0691,LISTER JOHNSON PTY LTD,RRPBC C0691,73.31,tanya.eckermann@bigpond.com,0419 295 106,,,,83651.66368533824
Erskine Park HS to St Marys Stn,School Service,Out,School,4616,4616-30022,GSBC001,Busways R1,GSBC Contract 1,11.15,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",13444.86299513828
